Year,Sample_ID,Tissue_type,Coral,Depth,Atoll,Site,Symbiont_d13C,Symbiont_d15N,Symbiont_C_ug,Symbiont_wt-percent_C,Symbiont_wt-percent_C_num,Symbiont_N_ug,Symbiont_wt-percent_N,Symbiont_wt-percent_N_num,Symbiont_dry-weight_mg,Symbiont_dry-weight_ug,Symbiont_CN_molar-ratio
2015,ZM268,Symbiont,Pocillopora,Deep,,Veyvah,-17.6,5.5,709.4,0.352,35.2,127.9,0.063,6.3,2.018,2018,6.5
2015,ZM273,Symbiont,Galaxea,Shallow,,Veyvah,-16.6,3.4,524.6,0.261,26.1,74.3,0.037,3.7,2.012,2012,8.2
2015,ZM275,Symbiont,Galaxea,Shallow,,Veyvah,-14.4,4.3,344,0.163,16.3,49,0.023,2.3,2.115,2115,8.2
2015,ZM279,Symbiont,Pocillopora,Shallow,,Veyvah,-17.5,5.4,629.1,0.312,31.2,115.8,0.057,5.7,2.019,2019,6.3
2015,ZM282,Symbiont,Pocillopora,Shallow,,Veyvah,-15,5.7,706.3,0.349,34.9,103,0.051,5.1,2.023,2023,8
2015,ZM284,Symbiont,Pocillopora,Shallow,,Veyvah,-17.4,5.6,282.9,0.139,13.9,49.1,0.024,2.4,2.037,2037,6.7
2015,ZM289,Symbiont,Pocillopora,Deep,Vaavu,Kandimma Falhu,-16.4,4.5,609.2,0.302,30.2,106.1,0.053,5.3,2.019,2019,6.7
2015,ZM290,Symbiont,Pocillopora,Deep,Vaavu,Kandimma Falhu,-18.7,4.5,746.2,0.368,36.8,119.2,0.059,5.9,2.027,2027,7.3
2015,ZM291,Symbiont,Pocillopora,Deep,Vaavu,Kandimma Falhu,-17.1,5.4,669.7,0.335,33.5,128.2,0.064,6.4,2,2000,6.1
2015,ZM293,Symbiont,Pachyseris,Deep,Vaavu,Kandimma Falhu,-15.8,6.1,534.5,0.249,24.9,77.1,0.036,3.6,2.144,2144,8.1
2015,ZM294,Symbiont,Pachyseris,Deep,Vaavu,Kandimma Falhu,-13.9,6.5,410.7,0.194,19.4,56.2,0.027,2.7,2.115,2115,8.5
2015,ZM295,Symbiont,Pachyseris,Deep,Vaavu,Kandimma Falhu,-14.9,5.6,254.5,0.124,12.4,29.6,0.014,1.4,2.053,2053,10
