Year,Sample_ID_Host,Coral,Depth,Atoll,Site,d13C_Host,d15N_Host,C_ug_Host,C_wt-percent_Host,C_wt-percent-num_Host,N_ug_Host,N_wt-percent_Host,N_wt-percent-num_Host,dry-weight_mg_Host,dry-weight_ug_Host,CN_molar-ratio_Host,Sample_ID_Sym,d13C_Sym,d15N_Sym,C_ug_Sym,C_wt-percent_Sym,C_wt-percent-num_Sym,N_ug_Sym,N_wt-percent_Sym,N_wt-percent-num_Sym,dry-weight_mg_Sym,dry-weight_ug_Sym,CN_molar-ratio_Sym,d13C_host-sym,d15N_host-sym
2015,HM179,Pachyseris,Deep,Dhaalu,Maafushi,-15.9,5.5,537.3,0.148,14.8,101.1,0.028,2.8,3.642,3642,6.2,ZM179,-14.8,5.7,534.7,0.255,25.5,78.6,0.038,3.8,2.093,2093,7.9,-1.1,-0.2
2015,HM183,Galaxea,Deep,Dhaalu,Maafushi,-18.1,5.7,204.4,0.056,5.6,40.5,0.011,1.1,3.647,3647,5.9,ZM183,-18.0,5.0,526.9,0.243,24.3,84.2,0.039,3.9,2.165,2165,7.3,-0.1,0.7
2015,HM184,Galaxea,Deep,Dhaalu,Maafushi,-19.5,5.7,202.1,0.055,5.5,39.6,0.011,1.1,3.654,3654,6,ZM184,-19.2,4.5,532.9,0.256,25.6,78.5,0.038,3.8,2.081,2081,7.9,-0.3,1.2
2015,HM185,Galaxea,Deep,Dhaalu,Maafushi,-18.0,6.1,524.9,0.144,14.4,99.8,0.027,2.7,3.651,3651,6.1,ZM185,-18.4,3.6,342,0.171,17.1,53.9,0.027,2.7,1.998,1998,7.4,0.4,2.5
2015,HM186,Pocillopora,Shallow,Dhaalu,Maafushi,-15.0,6.2,380.3,0.105,10.5,84,0.023,2.3,3.611,3611,5.3,ZM186,-13.8,6.4,477.1,0.228,22.8,72.4,0.035,3.5,2.089,2089,7.7,-1.2,-0.2
2015,HM188,Pocillopora,Shallow,Dhaalu,Maafushi,-15.0,6.2,268.7,0.074,7.4,55,0.015,1.5,3.631,3631,5.7,ZM188,-14.1,6.7,626.6,0.31,31,117.6,0.058,5.8,2.023,2023,6.2,-0.9,-0.5
2015,HM189,Pocillopora,Shallow,Dhaalu,Maafushi,-15.5,6.2,335.1,0.092,9.2,70.2,0.019,1.9,3.628,3628,5.6,ZM189,-14.3,6.5,422.9,0.211,21.1,72.8,0.036,3.6,2.005,2005,6.8,-1.2,-0.3
2015,HM200,Galaxea,Shallow,Dhaalu,Maafushi,-16.7,6.5,667,0.181,18.1,122.9,0.033,3.3,3.689,3689,6.3,ZM200,-17.1,3.6,577.6,0.286,28.6,106.6,0.053,5.3,2.021,2021,6.3,0.4,2.9
2015,HM201,Pachyseris,Shallow,Meemu,Kurali,-16.2,4.8,132.6,0.036,3.6,24.8,0.007,0.7,3.635,3635,6.2,ZM201,-16.7,4.7,521.9,0.256,25.6,70,0.034,3.4,2.035,2035,8.7,0.5,0.1
2015,HM202,Pachyseris,Shallow,Meemu,Kurali,-16.3,4.8,138.6,0.037,3.7,24.7,0.007,0.7,3.707,3707,6.6,ZM202,-11.5,4.8,224.7,0.11,11,22.2,0.011,1.1,2.039,2039,11.8,-4.8,0.0
