Year,Sample_ID,Tissue_type,Coral,Depth,Atoll,Site,d13C,d15N,C_ug,wt-percent_C,wt-percent_C_num,N_ug,wt-percent_N,wt-percent_N_num,dry-weight_mg,dry-weight_ug,CN_molar-ratio
2015,HM248,Host,Galaxea,Shallow,Meemu,Bodu huraa,-14.6,4.6,205.6,0.056,5.6,43.4,0.012,1.2,3.648,3648,5.5
2015,HM254,Host,Pachyseris,Deep,Meemu,Veyvah,-14.0,5.2,388.8,0.106,10.6,74.4,0.020,2.0,3.667,3667,6.1
2015,HM255,Host,Pachyseris,Deep,Meemu,Veyvah,-15.4,4.8,297.9,0.082,8.2,53.7,0.015,1.5,3.641,3641,6.5
2015,HM256,Host,Pachyseris,Deep,Meemu,Veyvah,-15.6,5.4,430.4,0.116,11.6,83.7,0.023,2.3,3.715,3715,6.0
2015,HM261,Host,Galaxea,Deep,Meemu,Veyvah,-17.5,5.4,406.5,0.111,11.1,82.8,0.023,2.3,3.672,3672,5.7
2015,HM262,Host,Galaxea,Deep,Meemu,Veyvah,-18.4,5.7,445.9,0.122,12.2,80.6,0.022,2.2,3.655,3655,6.5
2015,HM263,Host,Galaxea,Deep,Meemu,Veyvah,-18.5,5.1,235.6,0.065,6.5,42.2,0.012,1.2,3.639,3639,6.5
2015,HM265,Host,Pocillopora,Deep,Meemu,Veyvah,-18.0,4.8,261.0,0.072,7.2,55.0,0.015,1.5,3.641,3641,5.5
2015,HM266,Host,Pocillopora,Deep,Meemu,Veyvah,-18.1,5.5,353.3,0.098,9.8,64.7,0.018,1.8,3.610,3610,6.4
2015,HM267,Host,Pocillopora,Deep,Meemu,Veyvah,-17.8,4.7,244.6,0.067,6.7,48.7,0.013,1.3,3.677,3677,5.9
2015,HM268,Host,Pocillopora,Deep,Meemu,Veyvah,-18.6,5.6,381.5,0.106,10.6,73.2,0.020,2.0,3.599,3599,6.1
2015,HM273,Host,Galaxea,Shallow,Meemu,Veyvah,-16.7,5.4,354.5,0.098,9.8,63.9,0.018,1.8,3.616,3616,6.5
2015,HM275,Host,Galaxea,Shallow,Meemu,Veyvah,-14.7,5.7,520.1,0.143,14.3,98.0,0.027,2.7,3.643,3643,6.2
2015,HM276,Host,Galaxea,Shallow,Meemu,Veyvah,-17.4,4.1,741.9,0.203,20.3,117.2,0.032,3.2,3.647,3647,7.4
2015,HM279,Host,Pocillopora,Shallow,Meemu,Veyvah,-18.6,5.9,461.2,0.126,12.6,104.5,0.029,2.9,3.661,3661,5.2
2015,HM282,Host,Pocillopora,Shallow,Meemu,Veyvah,-16.8,5.4,309.0,0.085,8.5,67.7,0.019,1.9,3.624,3624,5.3
2015,HM284,Host,Pocillopora,Shallow,Meemu,Veyvah,-18.5,5.4,333.9,0.091,9.1,70.8,0.019,1.9,3.650,3650,5.5
2015,HM289,Host,Pocillopora,Deep,Vaavu,Kandimma Falhu,-17.7,5.4,381.4,0.103,10.3,75.1,0.020,2.0,3.708,3708,5.9
