Year,Sample_ID,Tissue_type,Coral,Depth,Atoll,Site,Host_d13C,Host_d15N,Host_C_ug,Host_wt-percent_C,Host_wt-percent_C_num,Host_N_ug,Host_wt-percent_N,Host_wt-percent_N_num,Host_dry-weight_mg,Host_dry-weight_ug,Host_CN_molar-ratio
2015,HM326,Host,Pachyseris,Deep,Vaavu,Medhu Faru,-13.1,5.6,295.55,0.081,8.1,51.03,0.014,1.4,3.629,3629,6.8
2015,HM332,Host,Pachyseris,Deep,Vaavu,Medhu Faru,-15.5,5.4,229.21,0.064,6.4,42.92,0.012,1.2,3.602,3602,6.2
2015,HM333,Host,Pachyseris,Deep,Vaavu,Medhu Faru,-14.2,5.7,266.55,0.073,7.3,49.55,0.014,1.4,3.654,3654,6.3
2015,HM336,Host,Pocillopora,Deep,Vaavu,Medhu Faru,-17.5,5.7,401.69,0.109,10.9,79.73,0.022,2.2,3.671,3671,5.9
2015,HM337,Host,Pocillopora,Deep,Vaavu,Medhu Faru,-16.8,5.7,336.36,0.09,9,69,0.019,1.9,3.718,3718,5.7
2015,HM342,Host,Pocillopora,Deep,Vaavu,Medhu Faru,-18.3,5.6,427.94,0.118,11.8,83.65,0.023,2.3,3.642,3642,6
2015,HM344,Host,Galaxea,Deep,Vaavu,Medhu Faru,-18.5,5.5,255.49,0.07,7,50.66,0.014,1.4,3.648,3648,5.9
2015,HM348,Host,Galaxea,Deep,Vaavu,Medhu Faru,-17.5,5.3,262.33,0.072,7.2,44.42,0.012,1.2,3.622,3622,6.9
2015,HM349,Host,Galaxea,Deep,Vaavu,Medhu Faru,-17.6,5.1,206.36,0.057,5.7,40.08,0.011,1.1,3.619,3619,6
2015,HM350,Host,Pocillopora,Shallow,Vaavu,Medhu Faru,-16.9,5.9,430.33,0.117,11.7,80.44,0.022,2.2,3.683,3683,6.2
2015,HM354,Host,Pocillopora,Shallow,Vaavu,Medhu Faru,-17.9,5.8,476.96,0.13,13,100.35,0.027,2.7,3.683,3683,5.5
2015,HM358,Host,Pocillopora,Shallow,Vaavu,Medhu Faru,-18,6.1,476.84,0.129,12.9,101.15,0.027,2.7,3.687,3687,5.5
2015,HM360,Host,Pachyseris,Shallow,Vaavu,Medhu Faru,-15.4,5.2,360.41,0.099,9.9,69.72,0.019,1.9,3.64,3640,6
2015,HM363,Host,Pachyseris,Shallow,Vaavu,Medhu Faru,-16.9,4.9,205.6,0.057,5.7,37.27,0.01,1,3.607,3607,6.4
2015,HM364,Host,Pachyseris,Shallow,Vaavu,Medhu Faru,-17.5,4.7,289.6,0.079,7.9,60.3,0.016,1.6,3.684,3684,5.6
2015,HM366,Host,Galaxea,Shallow,Vaavu,Medhu Faru,-15.3,5.5,439.88,0.119,11.9,83.61,0.023,2.3,3.694,3694,6.1
2015,HM370,Host,Galaxea,Shallow,Vaavu,Medhu Faru,-15.4,6.4,438.69,0.118,11.8,93.38,0.025,2.5,3.718,3718,5.5
2015,HM373,Host,Galaxea,Shallow,Vaavu,Medhu Faru,-14.8,5.3,456.68,0.125,12.5,86.48,0.024,2.4,3.665,3665,6.2
